NUMBER X_IMAGE Y_IMAGE FLUX_APER FLUXERR_APER ISOAREA_IMAGE THETA_IMAGE FLAGS ELONGATION                                     
         1    594.0010      2.0000     586.6508      47.7574        19   3.11   2    3.117
         2    156.0236      2.0000     444.7956     47.07748        30  -0.44   2    3.683
         3    747.9924      1.2454     588.9252     43.39968        22  -7.35  10    2.940
         4     67.4899      2.0000     342.1794     46.57946        24  -3.11   2    5.742
         5    343.4890      2.0000     436.1919     47.03593        19   0.53   2    2.398
         6    562.4702      1.4893     575.8581      45.0058        47  -1.86  10    6.223
         7    691.0383      1.5354     475.2686     45.12976        65  -0.15  10    8.189
         8    211.9959      2.0000     204.6465      45.9035         7   5.86   2    3.460
         9    216.4952      2.0000      374.537     46.73707        12 -10.19   2    2.011
        10    424.7811      2.0711     422.4027     47.09023        31   2.30   2    6.883
        11    354.9615      2.0000     385.4681     47.03276        37   0.32   2    6.243
        12    365.7155      1.5716     339.6109     44.44134        22   2.65  10    4.075
        13    501.4972      1.6622     373.5391     44.99546        27  -0.75  10    3.844
        14    544.4954      1.5073     388.2878     44.43422        35   0.62  10    4.612
        15    806.5099      2.0000     398.2667     46.85232        28  -0.78   2    4.727
        16    383.4898      2.0000     324.0276      46.4908        32   0.49   2    6.929
        17    629.2938      1.4284     331.8972     43.23325        14  -4.06  10    2.483
        18    782.0082      1.5048     355.5289      44.3947        18  -3.74  10    3.378
        19    788.1241      1.7191     329.2673     45.27676        21  -1.54  10    3.422
        20    982.5273      1.6549     325.0607     44.87689        45  -1.30  10    6.229
        21    921.1115      1.5170     331.3066     44.14181        46   1.27  10    8.604
        22      4.5084      1.7003     175.4286      44.3698        12   7.46  10    2.264
        23    116.5010      2.0000     416.9366      46.9428        27  -1.94   2    3.023
        24    105.6618      1.9197     275.3521     46.00556        24   4.21  10    7.619
        25    171.9873      2.0000     371.4839     46.72222        57  -0.26   2    5.900
        26    458.0464      2.0000      496.277     47.32536        31   4.75   2    3.871
        27    478.8915      1.3820     337.6106     42.60065        83   0.69  10   11.011
        28    222.5071      2.0000     375.1882     46.74024        19   5.09   2    2.478
        29    236.4968      2.0000     385.8615     46.79211        59  -0.20   2    6.743
        30    830.9214      1.5999     483.8157     45.42399        71  -0.73  10    9.235
        31    996.5249      1.8923     426.4064     46.50177        38  -1.64  10    4.583
        32    941.1989      1.7211     293.8247      45.4754        62  -0.42  10   11.522
        33    850.4943      3.5093     625.2065      47.8217        21  44.56   2    1.242
        34    599.5240      2.0302     684.6215     48.22138        30   1.28  10    1.249
        35    717.6749      1.9086      793.597     48.49822        26   2.00  10    1.535
        36    188.2550      1.5178     432.6034     44.66031        38   0.31  10    2.109
        37    282.4619      2.2270     644.4236     48.14986        42   1.41  10    2.159
        38     87.1885      1.7600     410.9792      46.4263        88  -1.17  10    9.486
        39    333.2710      1.9552     954.9673     49.47915        77   0.39  10    6.273
        40    728.6879      2.0678     719.2445     48.14853        69  -1.11  10    5.429
        41    439.1984      1.8158     843.7903     48.38135        57  -1.33  10    4.834
        42    614.2727      1.7469     445.8692     46.22903        68  -2.51  10    5.779
        43    662.4728      2.1463     765.9094     48.48578        51  -1.49  10    3.560
        44    187.3386     11.0671     181.6891     45.78969         4 -22.30   0    1.340
        45    200.9425      1.6663     467.5248     45.84158        71   1.22  10    4.369
        46    798.6097      3.0059     519.6823     47.43763        48   6.41  10    2.132
        47    676.2651      2.3277     470.0079     47.07834        31  35.47  10    1.323
        48    887.9283      1.9138     497.5305     47.09035        77   0.16  10   10.316
        49    685.6376      9.3582     301.4074     46.38009        12 -45.85   0    1.144
        50    935.0889     12.1455     212.8289     45.69564         7 -43.58   0    1.234
        51    468.6572      5.3289     280.8519     46.15615        29  26.72   2    1.734
        52    825.7364     11.4603     348.0707     46.60819        14 -75.16   0    1.039
        53    524.4169      2.1875     800.7167     48.76548       117   0.98  10    5.428
        54    345.4124      6.2176     287.2423     46.31063        24  31.46   2    1.128
        55    291.1977     11.5940     456.0192     47.13163        14 -17.68   2    1.502
        56    647.0475      2.0519     701.3413     48.41777        84  -2.18  10    4.469
        57    871.8410     10.0024     323.0171     46.73001        11  89.76   0    1.153
        58    371.5199     10.9626     423.3823       46.974        16  87.99   0    1.141
        59    540.0219     10.9413     495.0626     47.31953        21  46.36   0    1.088
        60    499.8909      9.7635     417.4393     46.70221        29  33.87   0    1.535
        61    265.2056      1.9546     3533.229     60.26194       121  -3.27  10    4.338
        62    405.4781      2.6600     542.5047     47.30692       134   1.63  10    6.421
        63     36.1531      8.2462     385.0259     46.90949        23 -67.13   2    1.418
        64    667.8663     15.3445     221.0316     45.86065         7  69.64   0    1.309
        65    863.8038     20.3960     158.0518     45.67221         2 -18.34   0    1.650
        66    198.0431     16.5124     295.9726     46.10732        15   3.27   0    1.203
        67    142.4443     17.5097     232.0739     45.79126         8   3.21   0    1.007
        68    139.2005      2.9472      5426.96      66.9396       150   0.89  10    3.108
        69    109.5925     13.1884     560.4503     47.63255        25   8.99   0    1.077
        70    959.2200     15.8999     306.0699     45.90987        19  47.17   0    1.281
        71    802.0009     18.6529      215.479      45.9571         7   8.71   0    1.318
        72    589.3474     12.8813     702.3649     48.06879        28  24.84   2    1.158
        73    311.3157      9.5511     339.8806     46.32324        26 -57.84   0    1.667
        74    611.9219     12.8127     297.2999     46.35996        18  83.08   0    2.093
        75    160.2308     15.5020     665.8469     47.65764        27 -63.79   0    1.040
        76     93.2913     18.0437     484.6514     47.02816        18  89.77   0    1.103
        77    709.4129      5.0402     11428.99     85.10725       127   9.92  10    1.322
        78     32.0346      1.7938      404.196     46.51556       146  -0.30  10   14.907
        79    966.0816      4.6810     569.7655     47.31761        86 -26.95  10    1.429
        80    431.7827     16.2069     512.5618      47.4035        30  30.03   2    1.319
        81    909.8462     16.5344     433.3158     47.02203        22 -50.38   0    1.491
        82    679.1565     20.1867     416.9588     47.18469        19 -23.88   2    1.293
        83    118.8322     22.3350     216.8163     45.96371         9 -24.63   0    1.288
        84    321.6970     22.3383      286.782     46.06199        12 -24.83   0    1.239
        85    591.8286      7.8163     1007.107     49.94641        64 -74.84   2    1.124
        86    847.6109     12.4519     793.0603      48.8464        50  37.42   2    1.386
        87    420.2502      8.7517     666.1789      48.3702        54 -29.86   2    1.343
        88    503.9153     21.1672     348.7836     46.48944        18   0.65   0    1.138
        89    587.5834     23.7972      239.421     46.07534         7  33.47   0    1.292
        90    817.8588     23.5236     186.5966     45.68968         4 -77.88   0    1.159
        91    852.3868     16.6747     574.9847     47.82097        30  85.78   2    1.139
        92    879.5057      7.4729     942.1461     49.18942        61  32.87   2    1.497
        93    771.4055      8.4286     556.4894     47.85204        57 -71.59   2    2.249
        94    782.6611     13.2828     400.9441     46.62187        40  -7.88   2    2.337
        95    997.1942     17.5522     219.7137     46.10161        13  64.99   0    1.629
        96     67.0073     19.3816     623.0526     47.93032        30  -8.67   0    1.146
        97    684.8773     19.3341     603.1982     47.59761        29 -34.78   2    1.093
        98    695.4336     17.3623     594.1738     47.91208        48 -18.34   2    1.881
        99    832.7345     22.8643     326.2018     46.37892        18  62.43   0    1.105
       100    436.5425     20.4480     594.2834      47.9126        31 -24.36   2    1.092
       101    465.7643     24.4153     364.1826     47.05087        17  -9.53   0    1.098
       102    381.7402     24.0845     395.8347     46.59695        15  59.78   0    1.096
       103    811.5941     23.9543     417.9276     47.06863        16  84.84   0    1.027
       104    369.3119     26.3804     315.7833     46.20486        20  -1.27   0    1.708
       105    130.0383     29.6882     185.6578      45.5603         5  -5.30   0    1.092
       106      3.3277     22.7151    -622.3036     44.62456         0  86.66   0    3.133
       107    659.3900     22.4517     373.6186     46.85419        39  17.08   0    2.175
       108    687.7690     27.3914     245.5094     46.35152        10  14.47   0    1.310
       109    993.9653     24.9560     293.5789     46.46433        16  64.37   0    1.177
       110    828.0292     29.7204     179.0041     45.77636         4  -4.90   0    1.082
       111    971.3120     24.9622     286.9609     46.06287        12 -85.67   2    1.297
       112    203.8408     27.0987     309.2196     45.92546        11  32.20   2    1.452
       113    405.4174     20.8625     487.4146     47.28278        33  56.15   0    1.481
       114    673.0258     28.4291     432.7378     47.26063        16  -3.87   0    1.128
       115    938.6013     24.4628     788.5541     48.82543        30  62.99   0    1.018
       116    647.0107     27.1621     498.7864     47.69663        21  32.84   2    1.077
       117    640.1569     27.0175     422.1964     47.20991        18 -63.05   2    1.107
       118    296.0253      4.2182     4680.242     64.53101       162  -8.60  10    2.083
       119    449.2156      8.4951     310.3474     46.17812        54 -59.92   2    2.873
       120    693.1536     23.3381      529.467     47.48449        30  83.01   2    1.103
       121    129.3044     14.4171     562.7665     47.28399        57  -0.69   0    1.253
       122    385.6867     31.2258     296.6061     46.11044        14  -5.22   0    1.188
       123    869.1375     34.1563     176.3229     45.76305         6 -44.12   0    1.212
       124    430.8893     22.9909     599.6038     47.69987        32 -57.01   2    1.289
       125    443.7272     25.1908     520.3826     47.44099        29 -42.70   0    1.484
       126   1021.3918      8.0523     3626.026     60.61091       131  38.61  10    1.710
       127    359.8786      8.5101     383.7119     46.53779        65  80.38   2    1.841
       128    877.9747     25.9224      716.816     48.37288        34  25.35   0    1.129
       129     66.0042     29.6701     505.5241     47.36975        24  83.19   0    1.026
       130    748.8361     21.4935     689.6556     47.77105        47 -59.70   0    1.718
       131    643.6200     21.4951     561.1472      47.2762        39  82.07   2    1.583
       132    529.9954     32.7402     503.3847     47.47947        19  -5.99   0    1.137
       133    208.8849     30.5475     726.3333     48.18198        31  -8.14   2    1.017
       134    285.7635     31.4562     704.2867     48.31397        30  37.06   0    1.074
       135    993.5057     31.5278     276.0215     46.00886        19 -47.89   0    1.733
       136    511.9441     22.2215     669.7845      48.1514        56 -41.71   2    1.318
       137      4.9049     33.9613     383.2407     46.29032        16 -67.46   0    1.014
       138    927.3698     34.0670     557.2536     47.61729        35   0.60   0    1.877
       139    763.0482     24.7975      1140.89      50.3259        72 -12.18   0    1.512
       140    811.4561     32.8798      312.145     46.18696        18 -77.94   0    1.546
       141    626.5718     21.6748     1034.376     49.84256        51  65.57   0    1.346
       142    759.6503      4.0234     11585.24     85.45692       198  -1.38  10    1.097
       143    903.7712     33.0531     218.5652     46.09595         8 -56.18   0    2.181
       144    488.0702     38.2162     248.3815     46.24273         8  60.67   0    1.273
       145    292.0139     36.0170     294.9661     46.34852        12 -45.52   2    1.190
       146    758.4998     34.1400     484.2176     46.90491        27  49.93   2    1.151
       147    492.5005     41.0084     152.8088     45.64612         3  -1.31   0    1.363
       148   1020.4955     38.5047     301.4314     46.25737        12 -23.31   2    1.035
       149    335.7660     32.1538     402.0814     46.99205        29  -4.13   2    1.175
       150    910.5355     39.2209     317.7428     46.58237        13 -11.20   0    1.050
       151    588.5042     36.4912     710.3523     48.22466        29   5.85   2    1.327
       152     95.9732     35.7397     642.1354     48.13905        28 -13.88   0    1.065
       153    545.2716     27.9753     1810.409     53.26371        72 -16.83   0    1.374
       154    443.5740     32.9495     693.5035     48.49842        33  54.10   0    1.256
       155    433.7812     42.9965       278.02     46.26535        10  -2.04   0    1.187
       156    811.5722     43.0100      189.108     45.95049         6  27.45   0    1.619
       157    976.4790     29.6936     708.1681     48.21437        50  54.21   2    1.508
       158    653.8884     34.7662     465.7651     46.93679        22 -81.88   0    1.356
       159    665.9346     39.4583     480.7425      47.2507        18 -32.38   0    1.093
       160    354.5042     38.4816     589.4664     47.53199        18 -59.97   2    1.479
       161    307.3910     44.0983     251.7584     46.13616        10  15.56   0    1.355
       162    393.4803     33.6358     638.6857     48.00439        41 -27.99   2    1.126
       163    422.6107     43.7952      164.145     45.70253         3  71.73   0    1.670
       164    504.7301     29.4681     589.7524     47.65291        45   6.79   0    1.433
       165    266.1856     35.1751     291.4035     46.45369        23  28.21   2    1.174
       166    587.4581     31.5090     829.6175     48.66673        45  39.82   2    1.460
       167    612.5890     42.7292     289.7111     46.32274        14   8.18   0    1.218
       168    889.3993     42.2469     359.4621      46.6637        13  10.30   0    1.041
       169    569.8943     34.1741     279.4993     45.90226        22  80.83   2    1.607
       170    894.1263     30.8916     1424.997     51.37195        55 -56.43   0    1.105
       171    953.5896     32.2256     615.8369     48.01473        19 -89.04   2    1.148
       172    714.8906     33.2945     1003.818     49.58842        42 -78.04   2    1.038
       173   1023.5316     35.8885     672.7313     45.36713        17 -88.47  26    1.893
       174    521.2161     11.6743     8313.888     76.18745       186 -86.38   2    1.096
       175    577.8977      9.6903     11413.06     84.66244       261 -78.17  10    1.093
       176    303.4756     33.1165     351.3895     46.25683        18  72.21   2    1.561
       177    327.2068     40.8019     568.5602     47.67123        22 -85.62   0    1.125
       178    483.2420     42.8641     416.5591     46.94097        19  44.23   0    1.118
       179   1017.3518     45.0634     235.6349     46.05666         9 -36.40   0    1.200
       180    543.3309     39.4064      286.788      46.3084        21 -60.53   0    1.834
       181    796.5352     39.0817     714.3127     48.24332        35  65.92   0    1.121
       182    598.0687     34.6374     458.6067     47.14411        41 -38.18   2    2.928
       183    216.5052     44.1767     437.3163     46.67711        18  89.70   0    1.159
       184     68.9562     48.9901       224.09     46.24637         8  54.92   0    1.004
       185    679.0302     43.7039     541.7789     47.06226        18  86.30   2    1.104
       186    764.3624     37.4488     749.2112     48.40745        40  47.07   2    1.167
       187    385.5360     39.9755     1059.034     50.06863        55 -10.71   0    1.268
       188    713.1802     39.8879     875.0044     48.87822        47 -23.48   2    1.457
       189    616.9628     47.5238     202.0714     45.89074        10 -38.13   0    2.001
       190    577.3956     44.8123     663.4669     48.12157        15 -63.08   2    1.388
       191    538.0649     46.1269     521.5756     47.32663        24 -50.08   0    1.081
       192    235.9363     46.4969      432.651     46.77618        22 -26.46   2    1.084
       193    926.9081     46.2068     502.9297      47.3573        24 -22.93   2    1.390
       194    916.1467     26.6906     8306.539      75.9411       129 -51.15   0    1.144
       195    974.9822     39.0036     390.4893     46.81458        32 -77.14   0    1.745
       196   1023.4550     41.7439     488.9032     45.44943        16  88.11  26    1.649
       197    101.3760     46.8875     313.4606     46.19344        15  75.34   0    1.202
       198    554.1583     46.7336     348.0555     46.60812        16 -72.10   0    1.374
       199    952.8731     36.6307     949.6509     49.45472        42 -88.09   2    1.114
       200    601.0980     40.6825     271.9608     45.86492        19  69.66   2    1.791
       201    883.3520     47.6045     311.2108      46.4281        15 -30.07   2    1.178
       202    684.1987     42.9092      752.703     48.54119        38 -27.19   2    1.121
       203    408.7966     48.9467     339.1276     46.68659        16 -88.40   0    1.109
       204    987.2404     51.4235     216.9175     46.21111         9  57.50   0    1.313
       205    206.9815     37.5559     1595.292     52.55474        81  18.25   2    1.044
       206    790.9559     45.3922     401.2267     47.10885        28  -9.56   0    1.453
       207     55.2586     47.2886     308.7373     46.17019        17  44.74   0    1.590
       208    962.0358     50.2315     569.6764     47.91463        23   7.39   0    1.031
       209    349.0057     16.8490     1373.906     51.47807        87 -55.10   2    1.599
       210    456.1821     50.9845     427.3071     46.99298        22  25.90   2    1.162
       211   1017.5651     51.0122     305.0104     46.76418        17  65.05   0    1.350
       212    262.0625     45.1210     415.3602     46.69209        30  89.46   2    1.244
       213    650.8287     49.9393     715.3756     48.24833        31   0.59   2    1.416
