NUMBER X_IMAGE Y_IMAGE FLUX_APER FLUXERR_APER ISOAREA_IMAGE THETA_IMAGE FLAGS ELONGATION                                             
         1    594.0010      2.0000     1463.324     100.5431        19   3.11   2    3.117
         2    156.0236      2.0000     1235.378     100.0265        30  -0.44   2    3.683
         3    747.9924      1.2454     1173.856     90.05515        22  -7.35  10    2.940
         4     67.4899      2.0000     1033.775      99.5674        32  -3.11   2    5.742
         5    343.4890      2.0000     1040.674     99.58315        19   0.53   2    2.398
         6    562.4702      1.4893     1358.977     94.27451        51  -1.86  10    6.223
         7    691.0383      1.5354     1043.204     94.92589        70  -0.15  10    8.189
         8    211.9959      2.0000     547.8278     98.45193         7   5.86   2    3.460
         9    216.4952      2.0000      953.119     99.38313        15 -10.19   2    2.011
        10    424.7811      2.0711     972.3505     99.69505        32   2.30   2    6.883
        11    354.9615      2.0000     961.7597     99.93819        37   0.32   2    6.243
        12    365.7155      1.5716     993.7399     94.80739        28   2.65  10    4.075
        13    501.4972      1.6622     970.9325     95.59361        30  -0.75  10    3.844
        14    544.4954      1.5073     1014.257      94.2924        39   0.62  10    4.612
        15    806.5099      2.0000     894.0779     99.24802        28  -0.78   2    4.727
        16    383.4898      2.0000     829.2034     99.09934        41   0.49   2    6.929
        17    629.2938      1.4284     815.3182      91.7995        18  -4.06  10    2.483
        18    782.0082      1.5048     825.1862     94.11945        21  -3.74  10    3.378
        19    788.1241      1.7191     807.4781     96.31853        26  -1.54  10    3.422
        20    982.5273      1.6549     785.0368     95.43057        42  -1.30  10    6.229
        21    921.1115      1.5170     698.8361     93.52905        49   1.27  10    8.604
        22      4.5084      1.7003     1143.962     96.83414        22   7.46  10    2.264
        23    116.5010      2.0000     1127.209     99.78045        31  -1.94   2    3.023
        24    105.6618      1.9197     846.8447     98.60015        29   4.21  10    7.619
        25    171.9873      2.0000     1042.621     99.58759        67  -0.26   2    5.900
        26    458.0464      2.0000     1008.309     99.50925        37   4.75   2    3.871
        27    478.8915      1.3820     4041.084      98.1154        95   0.69  10   11.011
        28    222.5071      2.0000      933.769     99.33887        23   5.09   2    2.478
        29    236.4968      2.0000     1013.505     99.52113        74  -0.20   2    6.743
        30    830.9214      1.5999     1198.264     95.85466        76  -0.73  10    9.235
        31    996.5249      1.8923     1021.371     98.46121        46  -1.64  10    4.583
        32    941.1989      1.7211     695.7234     96.88408        79  -0.42  10   11.522
        33    850.4943      3.5093     1591.716      100.568        21  44.56   2    1.242
        34    599.5240      2.0302     1895.695     101.5158        30   1.28  10    1.249
        35    717.6749      1.9086     1719.503     100.5915        26   2.00  10    1.535
        36    188.2550      1.5178     1673.128     95.86732        39   0.31  10    2.109
        37    282.4619      2.2270     1653.425     101.2358        45   1.41  10    2.159
        38     87.1885      1.7600     1267.595     99.02793       142  -1.17  10    9.486
        39    333.2710      1.9552     1911.332     101.5508        91   0.39  10    6.273
        40    728.6879      2.0678     1936.807     101.0813        73  -1.11  10    5.429
        41    439.1984      1.8158     1487.636     99.26326        65  -1.33  10    4.834
        42    614.2727      1.7469     1132.573     97.90349        81  -2.51  10    5.779
        43    662.4728      2.1463     1900.445     101.2633        56  -1.49  10    3.560
        44    187.3386     11.0671     567.6567     98.49769         9 -22.30   0    1.340
        45    200.9425      1.6663     1875.086     98.53517        85   1.22  10    4.369
        46    798.6097      3.0059     1450.031     100.5131        54   6.41  10    2.132
        47    676.2651      2.3277     1160.437     99.58858        35  35.47  10    1.323
        48    887.9283      1.9138     1265.497     99.56047        86   0.16  10   10.316
        49    685.6376      9.3582      814.688     99.06605        13 -45.85   0    1.144
        50    935.0889     12.1455     578.7644     97.98028         8 -43.58   0    1.234
        51    468.6572      5.3289     870.5248     98.92476        36  26.72   2    1.734
        52    825.7364     11.4603     875.2986       99.205        14 -75.16   0    1.039
        53    524.4169      2.1875     1612.203     100.8791       130   0.98  10    5.428
        54    345.4124      6.2176     997.9276     99.48554        29  31.46   2    1.128
        55    291.1977     11.5940     1020.041     99.53605        15 -17.68   2    1.502
        56    647.0475      2.0519     1607.613     101.1329        97  -2.18  10    4.469
        57    871.8410     10.0024     801.0963     99.57215        12  89.76   0    1.153
        58    371.5199     10.9626     1027.047     99.55204        16  87.99   0    1.141
        59    540.0219     10.9413     1260.803     100.0843        20  46.36   0    1.088
        60    499.8909      9.7635      1247.75     99.51994        33  33.87   0    1.535
        61    265.2056      1.9546     2093.499      102.219       130  -3.27  10    4.338
        62    405.4781      2.6600     1256.803     99.54061       153   1.63  10    6.421
        63     36.1531      8.2462     1025.498     99.81613        27 -67.13   2    1.418
        64    667.8663     15.3445     712.5585     98.56117         9  69.64   0    1.309
        65    863.8038     20.3960     476.0489     98.28609         5 -18.34   0    1.650
        66    198.0431     16.5124     774.4857     98.43322        16   3.27   0    1.203
        67    142.4443     17.5097     634.7779     98.11012         9   3.21   0    1.007
        68    139.2005      2.9472     22719.95     140.6095       182   0.89  10    3.108
        69    109.5925     13.1884     1434.887     100.4788        25   8.99   0    1.077
        70    959.2200     15.8999     939.0844      98.2711        19  47.17   0    1.281
        71    802.0009     18.6529     728.1422      98.8673        14   8.71   0    1.318
        72    589.3474     12.8813     2195.636     101.6616        27  24.84   2    1.158
        73    311.3157      9.5511     886.9647     98.69258        31 -57.84   0    1.667
        74    611.9219     12.8127     714.1608     98.83516        20  83.08   0    2.093
        75    160.2308     15.5020     1817.473      100.282        28 -63.79   0    1.040
        76     93.2913     18.0437     1152.335     99.30181        16  89.77   0    1.103
        77    709.4129      5.0402      12195.9     123.0749       121   9.92  10    1.322
        78     32.0346      1.7938     1151.125     99.03002       178  -0.30  10   14.907
        79    966.0816      4.6810     1373.455     99.53896        83 -26.95  10    1.429
        80    431.7827     16.2069     1321.926      100.223        29  30.03   2    1.319
        81    909.8462     16.5344     1073.716     99.65853        24 -50.38   0    1.491
        82    679.1565     20.1867     1112.973     100.2815        18 -23.88   2    1.293
        83    118.8322     22.3350     635.9307      98.6551        13 -24.63   0    1.288
        84    321.6970     22.3383     762.3422     98.40518        13 -24.83   0    1.239
        85    591.8286      7.8163     3641.886     105.8578        64 -74.84   2    1.124
        86    847.6109     12.4519     1807.798     101.5817        46  37.42   2    1.386
        87    420.2502      8.7517     1657.327     101.5077        59 -29.86   2    1.343
        88    503.9153     21.1672     905.7247      99.0056        16   0.65   0    1.138
        89    587.5834     23.7972     726.1381     98.86269        12  33.47   0    1.292
        90    817.8588     23.5236     616.6785     98.33984        11 -77.88   0    1.159
        91    852.3868     16.6747     1427.944     100.7283        27  85.78   2    1.139
        92    879.5057      7.4729     3201.568     103.8861        62  32.87   2    1.497
        93    771.4055      8.4286     1487.248     101.1262        59 -71.59   2    2.249
        94    782.6611     13.2828     1115.663     99.21783        42  -7.88   2    2.337
        95    997.1942     17.5522     745.3117     99.17612        24  64.99   0    1.629
        96     67.0073     19.3816     1609.736     100.8735        28  -8.67   0    1.146
        97    684.8773     19.3341     1722.126     100.5974        25 -34.78   2    1.093
        98    695.4336     17.3623     1380.419      100.621        48 -18.34   2    1.881
        99    832.7345     22.8643      903.798     99.00117        19  62.43   0    1.105
       100    436.5425     20.4480     1504.027     100.8998        29 -24.36   2    1.092
       101    465.7643     24.4153     1077.422     100.4668        19  -9.53   0    1.098
       102    381.7402     24.0845     1008.421     98.97188        17  59.78   0    1.096
       103    811.5941     23.9543      1055.39     99.88416        17  84.84   0    1.027
