NUMBER X_IMAGE Y_IMAGE FLUX_APER FLUXERR_APER ISOAREA_IMAGE THETA_IMAGE FLAGS ELONGATION                                             
         1    594.0010      2.0000     1017.807     214.8129        10   3.11   2    3.117
         2    156.0236      2.0000     176.0907     213.6001         0  -0.44   2    3.683
         3    747.9924      1.2454     1352.776     193.2639        11  -7.35  10    2.940
         4     67.4899      2.0000     -21.6803     213.3455         0  -3.11   2    5.742
         5    343.4890      2.0000     317.7815     213.8047         0   0.53   2    2.398
         6    562.4702      1.4893     921.5371     201.0665         7  -1.86  10    6.223
         7    691.0383      1.5354     412.9428     203.4689         6  -0.15  10    8.189
         8    211.9959      2.0000    -19.92396     213.3455         0   5.86   2    3.460
         9    216.4952      2.0000      54.3274     213.4241         0 -10.19   2    2.011
        10    424.7811      2.0711     267.3689     214.3327         0   2.30   2    6.883
        11    354.9615      2.0000     126.9719       214.73         0   0.32   2    6.243
        12    365.7155      1.5716    -152.0825     202.8415         0   2.65  10    4.075
        13    501.4972      1.6622     57.57828     204.8211         0  -0.75  10    3.844
        14    544.4954      1.5073     42.73801     201.6352         0   0.62  10    4.612
        15    806.5099      2.0000      163.851     213.5824         0  -0.78   2    4.727
        16    383.4898      2.0000    -64.32597     213.3455         0   0.49   2    6.929
        17    629.2938      1.4284    -194.4898      197.054         0  -4.06  10    2.483
        18    782.0082      1.5048    -90.30152     202.2066         0  -3.74  10    3.378
        19    788.1241      1.7191    -81.21117     207.2312         0  -1.54  10    3.422
        20    982.5273      1.6549     69.18158     205.4653         0  -1.30  10    6.229
        21    921.1115      1.5170    -18.19081     201.5698         0   1.27  10    8.604
        22      4.5084      1.7003    -164.3668     206.6098         0   7.46  10    2.264
        23    116.5010      2.0000     133.3424     213.5383         0  -1.94   2    3.023
        24    105.6618      1.9197     89.60433     212.2671         0   4.21  10    7.619
        25    171.9873      2.0000     107.2472     213.5006         0  -0.26   2    5.900
        26    458.0464      2.0000     842.7678     214.5612         6   4.75   2    3.871
        27    478.8915      1.3820     98.14291     193.9203         0   0.69  10   11.011
        28    222.5071      2.0000     210.7284     213.6501         0   5.09   2    2.478
        29    236.4968      2.0000     77.22793     213.4572         0  -0.20   2    6.743
        30    830.9214      1.5999     558.0563     204.9475         0  -0.73  10    9.235
        31    996.5249      1.8923     301.9322     211.3624         0  -1.64  10    4.583
        32    941.1989      1.7211    -46.90287     209.0842         0  -0.42  10   11.522
        33    850.4943      3.5093     1561.791     214.9958        14  44.56   2    1.242
        34    599.5240      2.0302     1198.406     215.0722        17   1.28  10    1.249
        35    717.6749      1.9086     1363.814     214.1118        19   2.00  10    1.535
        36    188.2550      1.5178     286.4562     202.0079         0   0.31  10    2.109
        37    282.4619      2.2270     1121.326     215.5589        11   1.41  10    2.159
        38     87.1885      1.7600     6.104059       210.93         0  -1.17  10    9.486
        39    333.2710      1.9552     2148.134     216.4308        21   0.39  10    6.273
        40    728.6879      2.0678     1296.841     214.0152        17  -1.11  10    5.429
        41    439.1984      1.8158     2118.977     213.3976        22  -1.33  10    4.834
