NUMBER X_IMAGE Y_IMAGE FLUX_APER FLUXERR_APER ISOAREA_IMAGE THETA_IMAGE FLAGS ELONGATION                                          
         1    594.0010      2.0000     846.0519     70.65676        19   3.11   2    3.117
         2    156.0236      2.0000     637.1151     69.98148        30  -0.44   2    3.683
         3    747.9924      1.2454     846.5438     63.88625        22  -7.35  10    2.940
         4     67.4899      2.0000     520.9963     69.60334        25  -3.11   2    5.742
         5    343.4890      2.0000     574.1285     69.77662        18   0.53   2    2.398
         6    562.4702      1.4893     784.7745     66.27068        44  -1.86  10    6.223
         7    691.0383      1.5354     638.8177     66.75045        64  -0.15  10    8.189
         8    211.9959      2.0000     275.1895     68.79604         7   5.86   2    3.460
         9    216.4952      2.0000     470.4165     69.43799        11 -10.19   2    2.011
        10    424.7811      2.0711     583.1558     69.99223        32   2.30   2    6.883
        11    354.9615      2.0000     538.4481     70.03302        36   0.32   2    6.243
        12    365.7155      1.5716     461.3286     66.14337        20   2.65  10    4.075
        13    501.4972      1.6622     559.5681     67.06488        30  -0.75  10    3.844
        14    544.4954      1.5073     515.2974      65.9349        31   0.62  10    4.612
        15    806.5099      2.0000      511.879     69.57356        27  -0.78   2    4.727
        16    383.4898      2.0000     456.3765     69.39202        32   0.49   2    6.929
        17    629.2938      1.4284     380.9222     64.06326        14  -4.06  10    2.483
        18    782.0082      1.5048     493.5697      66.0573        19  -3.74  10    3.378
        19    788.1241      1.7191     457.2929     67.49326        20  -1.54  10    3.422
        20    982.5273      1.6549      504.035     67.07078        39  -1.30  10    6.229
        21    921.1115      1.5170      453.248     65.72067        46   1.27  10    8.604
        22      4.5084      1.7003    -165.9548     65.73772         8   7.46  10    2.264
        23    116.5010      2.0000      567.826     69.75609        27  -1.94   2    3.023
        24    105.6618      1.9197     395.3061     68.81445        25   4.21  10    7.619
        25    171.9873      2.0000     522.9927     69.60986        56  -0.26   2    5.900
        26    458.0464      2.0000     692.1052     70.15984        31   4.75   2    3.871
        27    478.8915      1.3820     476.3186     63.38217        79   0.69  10   11.011
        28    222.5071      2.0000     485.8751     69.48857        17   5.09   2    2.478
        29    236.4968      2.0000       508.04     69.56103        50  -0.20   2    6.743
        30    830.9214      1.5999     709.4727     67.37807        66  -0.73  10    9.235
        31    996.5249      1.8923     634.9413     69.22635        38  -1.64  10    4.583
        32    941.1989      1.7211     404.1451     67.89169        65  -0.42  10   11.522
        33    850.4943      3.5093     890.6858      70.6161        21  44.56   2    1.242
        34    599.5240      2.0302     986.1201     71.10587        29   1.28  10    1.249
        35    717.6749      1.9086     1035.193      70.8963        26   2.00  10    1.535
        36    188.2550      1.5178     589.5167     66.19024        37   0.31  10    2.109
        37    282.4619      2.2270     859.3295     70.88332        42   1.41  10    2.159
        38     87.1885      1.7600     551.2782     68.95113        88  -1.17  10    9.486
        39    333.2710      1.9552     1344.534     72.24238        76   0.39  10    6.273
        40    728.6879      2.0678     1014.163     70.82885        72  -1.11  10    5.429
        41    439.1984      1.8158     1137.059     70.67171        58  -1.33  10    4.834
        42    614.2727      1.7469     628.4218     68.63837        65  -2.51  10    5.779
        43    662.4728      2.1463     1034.658     71.07795        50  -1.49  10    3.560
        44    187.3386     11.0671     303.4339     68.88928         6 -22.30   0    1.340
        45    200.9425      1.6663     636.5646     67.90284        70   1.22  10    4.369
        46    798.6097      3.0059     778.3514     70.43866        51   6.41  10    2.132
        47    676.2651      2.3277       642.64     69.81322        29  35.47  10    1.323
        48    887.9283      1.9138     742.6345     69.95216        78   0.16  10   10.316
        49    685.6376      9.3582      402.858     69.21651        13 -45.85   0    1.144
        50    935.0889     12.1455      275.744     68.41843         5 -43.58   0    1.234
        51    468.6572      5.3289     438.9437     69.14691        31  26.72   2    1.734
        52    825.7364     11.4603     426.9679     69.29563        14 -75.16   0    1.039
        53    524.4169      2.1875     1093.837     71.44933       117   0.98  10    5.428
        54    345.4124      6.2176     440.6013     69.34033        25  31.46   2    1.128
        55    291.1977     11.5940      560.633     69.73264        14 -17.68   2    1.502
        56    647.0475      2.0519     930.3982     71.11083        79  -2.18  10    4.469
        57    871.8410     10.0024     371.7393     69.48991         9  89.76   0    1.153
        58    371.5199     10.9626     504.7001     69.55011        16  87.99   0    1.141
        59    540.0219     10.9413     658.9898     70.05247        21  46.36   0    1.088
        60    499.8909      9.7635     660.1862     69.68377        31  33.87   0    1.535
        61    265.2056      1.9546     3356.165     78.48166       116  -3.27  10    4.338
        62    405.4781      2.6600     758.4747      70.0036       130   1.63  10    6.421
        63     36.1531      8.2462     521.2193     69.79082        23 -67.13   2    1.418
        64    667.8663     15.3445     279.5497     68.62102         4  69.64   0    1.309
        65    863.8038     20.3960     242.7534      68.6888         2 -18.34   0    1.650
        66    198.0431     16.5124     415.1254     68.87987        14   3.27   0    1.203
        67    142.4443     17.5097     319.7318     68.56439        10   3.21   0    1.007
        68    139.2005      2.9472     9154.312     93.64219       158   0.89  10    3.108
        69    109.5925     13.1884     708.7825     70.21384        25   8.99   0    1.077
        70    959.2200     15.8999     442.6683      68.5922        17  47.17   0    1.281
        71    802.0009     18.6529      302.675     68.88678         5   8.71   0    1.318
        72    589.3474     12.8813     1092.942     71.08118        28  24.84   2    1.158
        73    311.3157      9.5511     470.2918     69.06165        29 -57.84   0    1.667
        74    611.9219     12.8127     369.1919     69.10589        16  83.08   0    2.093
        75    160.2308     15.5020     920.9213     70.15895        31 -63.79   0    1.040
        76     93.2913     18.0437     605.6152     69.50556        19  89.77   0    1.103
        77    709.4129      5.0402     10242.38     96.65161       127   9.92  10    1.322
        78     32.0346      1.7938     513.9414     69.01681       137  -0.30  10   14.907
        79    966.0816      4.6810     753.5923     69.80152        87 -26.95  10    1.429
        80    431.7827     16.2069     663.8956     70.06839        29  30.03   2    1.319
        81    909.8462     16.5344     575.9405     69.78252        22 -50.38   0    1.491
        82    679.1565     20.1867      559.171     70.10023        18 -23.88   2    1.293
        83    118.8322     22.3350     310.1897     68.91157         7 -24.63   0    1.288
        84    321.6970     22.3383     389.0173     68.79367        14 -24.83   0    1.239
        85    591.8286      7.8163     1577.929     73.32881        65 -74.84   2    1.124
        86    847.6109     12.4519     1048.418     71.48703        49  37.42   2    1.386
        87    420.2502      8.7517     909.0704     71.22562        57 -29.86   2    1.343
        88    503.9153     21.1672     446.4012     69.17142        17   0.65   0    1.138
        89    587.5834     23.7972      346.626     69.03163         9  33.47   0    1.292
        90    817.8588     23.5236     300.7494     68.69119         5 -77.88   0    1.159
        91    852.3868     16.6747     747.6467     70.52433        30  85.78   2    1.139
        92    879.5057      7.4729     1347.536      71.8906        61  32.87   2    1.497
        93    771.4055      8.4286     747.6194     70.70856        59 -71.59   2    2.249
        94    782.6611     13.2828     611.0744     69.52341        41  -7.88   2    2.337
